X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.2176717790151,38.9244491693927,26014226,38.924437,-77.217664,Westpark & Jones Branch Dr,classic,429,active,2022/03/25 04:55:50+00,9,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.2192631367085,38.9319231164161,26014227,38.931911,-77.219261,Jones Branch & Westbranch Dr,classic,430,active,2022/03/25 04:55:51+00,9,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,13,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.225400970999,38.9289296807527,26014228,38.928919,-77.225394,Westpark & Park Run Dr,classic,431,active,2022/03/25 08:46:15+00,10,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.2318253524573,38.9326465659651,26014229,38.932636,-77.231825,Tysons West Transit Center,classic,432,active,2022/03/25 04:55:50+00,8,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.3386881790362,38.9700496019126,26014230,38.970046,-77.338686,North Shore & Cameron Crescent Dr/Crescent Apartments,classic,433,active,2022/03/25 04:55:57+00,3,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.3619023103047,38.9625301839679,26014231,38.962524,-77.361902,Town Center Pkwy & Bowman Towne Dr,classic,434,active,2022/03/25 04:55:57+00,1,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.3588193832047,38.962098277498,26014232,38.962095,-77.358815,Reston Regional Library,classic,435,active,2022/03/25 04:55:58+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.3563310691994,38.9605834802193,26014233,38.960574,-77.356324,New Dominion Pkwy & Fountain Dr,classic,436,active,2022/03/25 04:55:58+00,12,0,2,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.3516540911385,38.9550845425896,26014234,38.955079,-77.351649,Sunset Hills & Old Reston Ave,classic,437,active,2022/03/25 04:55:58+00,10,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.359716928836,38.9570418469793,26014235,38.957037,-77.359718,Reston Town Center Transit Station,classic,438,active,2022/03/25 04:55:59+00,16,0,1,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.0059726260136,38.8849249041764,26014236,38.884916,-77.005965,1st & D St SE,classic,439,active,2022/03/25 10:12:36+00,2,0,17,3,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
